Book ID (Isbn-13),Average Rating,Ratings Count,Text Review Count
9780439785969,4.57,2095690,27591
9780439358071,4.49,2153167,29221
9780439554893,4.42,6333,244
9780439655484,4.56,2339585,36325
9780439682589,4.78,41428,164
9780976540601,3.74,19,1
9780439827607,4.73,28242,808
9780517226957,4.38,3628,254
9780345453747,4.38,249558,4080
9781400052929,4.22,4930,460
9780739322208,4.22,1266,253
9780517149256,4.38,2877,195
9780767908184,4.21,248558,9396
9780767915069,3.44,7270,499
9780767910439,3.87,2088,131
9780767903868,4.07,72451,4245
9780767903820,3.9,49240,2211
9780060920081,3.83,45712,2257
9780380713806,3.86,48701,2238
9780380727506,3.91,80609,3301
9780380715435,3.93,28489,2085
9780345538376,4.59,101233,1550
9780618517657,4.5,1710,91
9780618346257,4.36,2128944,13670
9780618260584,4.5,1618,140
9780618391004,4.53,19822,46
9780618510825,4.5,359,6
9780976694007,3.84,1430,59
9780689840920,3.72,270244,12017
9781557344496,4,36,2
9780385326506,3.88,2067,334
9781575606248,4.33,6,0
9781595580276,3.45,99,16
9781595962805,3.76,167,4
9780670059676,3.6,978,111
9780141312620,4.06,4454,302
9780595321803,4.17,1176,96
9781590301944,3.55,301,43
9780449146972,3.98,345,12
9780061159176,3.83,29686,2626
9780060762735,3.83,55,12
9780060749910,3.83,22,3
9780273704744,3.83,1456,82
9781932386103,4.13,52,4
9780374517199,4.42,562,37
9780374280390,3.95,1630,203
9780374519742,4.17,268,22
9780374522599,4.24,3498,305
9780374518738,4.34,3115,228
9780374522872,4.22,5704,261
9780374519322,3.92,698,52
9780374516000,4.23,542,36
9780374520656,4.23,1341,98
9780822205104,3.75,1423,70
9780679734994,3.84,2766,64
9781596670235,3.94,31,1
9781581807745,3.77,62,4
9780800793616,4.46,860,53
9780871202864,3.68,77,2
9780753454947,3.99,153317,2257
9780871209993,3.25,55,5
9781852402877,4.46,34,6
9780761129585,3.89,11797,659
9780972016414,3.82,34,8
9781581805635,3.78,78,4
9780441294671,3.84,2785,166
9780441102679,3.91,38778,568
9780441172696,3.88,97494,2359
9780765306470,4.01,784,21
9780399128981,3.86,272,20
9780765353702,3.88,4789,83
9780441328000,3.86,45388,644
9780618212903,4.59,26153,102
9780345410054,4.35,69167,4551
9780385732543,4.35,45,13
9780785260059,4.28,16,1
9780471780939,3.34,174,16
9780325001531,3.67,10,0
9780060762872,3.48,76,9
9780470045299,3.5,111,9
9780072262780,3.62,24,0
9780764569241,3.55,55,4
9780471933823,4.27,9,0
9780764559914,3.39,22,1
9780764584381,3.89,17,3
9780596523695,3.84,166,4
9780806523491,4.12,50,5
9780806525365,4.08,13,2
9780596527310,3.48,64,1
9780143035008,4.05,16643,1851
9780451528612,4.05,109420,5696
9780140449174,4.05,2904,309
9780822001836,3.85,16,3
9781593080273,4.05,9564,726
9780486437965,4.05,474,72
9781593081775,4.05,303,48
9780778322276,2.99,411,65
9780521313254,4.19,1204,33
9780140183955,3.71,3429,279
9780679767473,3.95,2163,216
9781568491981,3.89,613,31
9780743270793,3.82,308,40
9780932863058,4.2,10,0
9780742508804,3.65,16,4
9780205358625,3.4,10,0
9781557344038,4,17,0
9780380720446,4.01,1035,23
9780821925324,4,36,6
9780439271691,3.6,15,0
9780606105262,4,6,1
9780751506433,4.12,376,17
9780060786717,4.11,3086,237
9780743499347,3.94,352,44
9780765313409,3.6,9852,633
9781400032495,3.9,821,78
9781400032488,4.05,731,72
9781400032464,3.94,2897,178
9780679732525,3.89,98,11
9780312424442,3.42,20888,1688
9780806930770,3.91,66,19
9780140366600,4.02,81,6
9780811201124,4.22,981,52
9780802130167,3.69,3381,141
9780802131782,3.68,53206,2376
9780802151827,3.78,14872,459
9780802151780,4.1,3261,58
9780802151803,3.98,7805,251
9780811201063,3.83,2699,142
9780141439631,3.78,61640,1951
9781593080969,3.78,392,41
9781571290533,3.75,778,44
9781565842212,3.85,963,65
9780394743042,3.66,2057,128
9781851681822,3.68,203,8
9781566562492,4.21,35,2
9780140195538,4.19,328,16
9780394431246,3.98,1308,82
9780806501901,3.92,6432,517
9780679439202,4.08,3015,217
9780753453803,3.83,318753,6734
9781402714573,3.83,420,42
9781416500292,3.83,5967,276
9780689854682,3.83,104,14
9780517221143,3.83,56,4
9781577658054,4.05,91,16
9780933121188,4.61,88,4
9780785950103,4.07,63,7
9780394800844,4.04,2815,164
9780821778258,3.6,95,13
9780060733032,3.44,217,24
9788432216060,4.02,4136,255
9780345413994,4.01,17232,649
9780441788385,3.92,251872,6241
9780441748600,3.87,10293,193
9780345316509,3.78,15970,438
9780765314932,3.97,6898,200
9780671742515,4.06,67803,1401
9780345455291,3.93,22091,746
9780345476517,4.14,2623,49
9780345368430,3.6,885,84
9781417622856,3.93,5,0
9780573650963,4.13,100,13
9780691122946,3.57,9358,995
9780393329407,3.78,9318,907
9780671867423,4.14,120,15
9780395883976,4.53,5239,76
9780684848150,3.92,1505,175
9780140156041,3.99,11857,564
9780140119480,3.43,393,55
9780679722946,3.43,1356,72
