ISBN-13,Title,Author,Publisher,Description,NYT Review Link,Most Recent Bestseller Date,Most Recent Rank,Number of Weeks on List
9.78032E+12,THE TWILIGHT SAGA,Stephenie Meyer,"Little, Brown",Vampires and werewolves and their intrigues in high school.,https://www.nytimes.com/2007/08/12/books/review/Schillinger7-t.html,3/12/2022,9,279
9.78044E+12,HARRY POTTER,J.K. Rowling,Scholastic,A wizard hones his conjuring skills in the service of fighting evil.,,3/12/2022,3,677
9.78044E+12,HARRY POTTER,J.K. Rowling,Scholastic,A wizard hones his conjuring skills in the service of fighting evil.,,3/12/2022,3,677
9.78044E+12,HARRY POTTER,J.K. Rowling,Scholastic,A wizard hones his conjuring skills in the service of fighting evil.,,3/12/2022,3,677
9.78044E+12,HARRY POTTER,J.K. Rowling,Scholastic,A wizard hones his conjuring skills in the service of fighting evil.,,3/12/2022,3,677
9.78079E+12,PERCY JACKSON & THE OLYMPIANS,Rick Riordan,Disney-Hyperion,A boy battles mythological monsters.,https://www.nytimes.com/2009/05/31/books/review/Devereaux-t.html,3/12/2022,4,613
9.78006E+12,THE ALCHEMIST,Paulo Coelho,HarperOne/HarperCollins,A Spanish shepherd boy ventures to Egypt in search of treasure and his destiny.,,9/2/2017,7,427
9.78038E+12,THE BOOK THIEF,Markus Zusak,Knopf,A girl copes with life under the Nazis by stealing books.,https://www.nytimes.com/2006/05/14/books/review/14greenj.html,2/26/2022,7,0
9.78014E+12,"EAT, PRAY, LOVE",Elizabeth Gilbert,Penguin,"A writer’s journey in search of self takes her to Italy, India and Indonesia.",https://www.nytimes.com/2006/02/26/books/review/26egan.html,9/3/2011,27,0
9.78157E+12,WATER FOR ELEPHANTS,Sara Gruen,Algonquin,A young veterinary student — and an elephant — save a Depression-era circus.,https://www.nytimes.com/2006/06/04/books/review/04judd.html,12/29/2012,16,49
9.7814E+12,The Curious Incident of the Dog in the Night-Time,Mark Haddon,,,https://www.nytimes.com/2003/06/15/books/the-remains-of-the-dog.html,null,null,null
9.78014E+12,THE SECRET LIFE OF BEES,Sue Monk Kidd,Penguin,"In South Carolina in 1964, a teenage girl tries to discover the secret to her mother’s past.",https://www.nytimes.com/2002/03/31/books/books-in-brief-fiction-poetry-176362.html,6/23/2012,35,0
9.78074E+12,MY SISTER’S KEEPER,Jodi Picoult,Washington Square,A girl sues her parents after learning they want her to donate a kidney to her sibling.,https://www.nytimes.com/2004/04/18/books/books-in-brief-fiction-poetry-147680.html,10/17/2009,34,0
9.78074E+12,THE GLASS CASTLE,Jeannette Walls,Scribner,The author recalls how she and her siblings were constantly moved from one bleak place to another.,https://www.nytimes.com/2005/03/13/books/review/013COVERPROSE.html,9/11/2021,9,450
9.78039E+12,INTO THE WILD,Jon Krakauer,Anchor,A man's obsession with the wilderness ends in tragedy.,https://www.nytimes.com/1996/03/03/books/adventures-of-alexander-supertramp.html,11/26/2016,3,0
9.78014E+12,The Odyssey (Penguin Classics),Homer,,,https://www.nytimes.com/2000/07/09/books/the-humbling-of-odysseus.html,null,null,null
9.78055E+12,A CLASH OF KINGS,George RR Martin,Random House Audio,"The second book in the Song of Ice and Fire series. Read by Roy Dotrice. 37 hours, 12 minutes unabridged.",,6/29/2019,6,0
9.78032E+12,TIPPING POINT,Malcolm Gladwell,"Back Bay/Little, Brown",How and why certain products and ideas become fads.,https://www.nytimes.com/books/00/03/05/reviews/000305.05wolfet.html,8/27/2016,8,0
9.78079E+12,PERCY JACKSON & THE OLYMPIANS,Rick Riordan,Disney-Hyperion,A boy battles mythological monsters.,https://www.nytimes.com/2009/05/31/books/review/Devereaux-t.html,3/12/2022,4,613
9.78006E+12,FREAKONOMICS,Steven D Levitt and Stephen J Dubner,Morrow/HarperCollins,"How to apply economic theory to almost everything.
",https://www.nytimes.com/2005/05/15/books/review/15HOLTL.html,8/27/2016,7,0
9.78006E+12,THE POISONWOOD BIBLE,Barbara Kingsolver,HarperCollins Publishers,"Five female characters, a missionary's family, narrate this novel set in the Belgian Congo during that country's fight for independence; originally published in 1998.",https://www.nytimes.com/1998/10/18/books/going-native.html,1/12/2013,21,1
9.78032E+12,BLINK,Malcolm Gladwell,"Back Bay/Little, Brown",The importance of hunch and instinct.,https://www.nytimes.com/2005/01/16/books/review/16COVERBR.html,7/26/2014,25,0
9.78031E+12,HOUSE OF NIGHT,PC Cast and Kristin Cast,St. Martin’s Press,Vampires in school.,,10/25/2014,6,153
9.7814E+12,NEVER LET ME GO,Kazuo Ishiguro,Vintage International,"At a school in the English countryside, children are trained for a terrible destiny.",https://www.nytimes.com/2005/04/17/books/review/17KERRL.html,1/2/2011,31,0
9.78039E+12,INTO THIN AIR,Jon Krakauer,Anchor,A chronicle of the 1996 Mount Everest expeditions that led to the death of a dozen climbers.,https://www.nytimes.com/1998/04/12/books/new-noteworthy-paperbacks-331287.html,7/30/2016,7,0
9.78006E+12,NEVERWHERE,Neil Gaiman,HarperAudio,"A businessman falls into a world of monsters and knights beneath the London streets. 13 hours, 48 minutes unabridged. Read by the author.",,2/2/2019,6,0
9.78062E+12,EXTREMELY LOUD AND INCREDIBLY CLOSE,Jonathan Safran Foer,Mariner/Houghton Mifflin,"A precocious boy goes on a scavenger hunt through New York’s five boroughs in search of the lock that fits a key belonging to his father, who died on Sept. 11.",https://www.nytimes.com/2005/04/03/books/review/0403cover-kirn.html,4/14/2012,25,0
9.78044E+12,CAN YOU KEEP A SECRET?,Sophie Kinsella,Random House Publishing,A woman reveals the most intimate details of her life to a man who turns out to be the C.E.O. of the company for which she works.,,11/12/2011,30,0
9.78044E+12,Inkheart  (Inkheart Trilogy),Cornelia Funke,,,https://www.nytimes.com/2003/12/21/books/children-s-books-517305.html,null,null,null
9.78031E+12,A WALK IN THE WOODS,Bill Bryson,Broadway,"A journey to rediscover America by trekking the 2,100 miles of the Appalachian Trail. First published in 1998; a 2015 movie.",,7/30/2016,9,0
9.78081E+12,SNOW FLOWER AND THE SECRET FAN,Lisa See,Random House,Two women in 19th-century China establish a lifeline based on a secret form of communication.,https://www.nytimes.com/2005/09/25/books/review/25galehouse.html,8/13/2011,21,0
9.78067E+12,SHE'S COME UNDONE,Wally Lamb,Simon & Schuster,A woman's harrowing progress from youth to middle age; originally published in 1992.,https://www.nytimes.com/1992/08/23/books/it-s-a-miserable-life.html,4/27/2013,23,4
9.78014E+12,The Iliad (Penguin Classics Deluxe Edition),Homer,,,https://www.nytimes.com/1997/07/20/books/yo-achilles.html,null,null,null
9.7814E+12,BELOVED,Toni Morrison,Vintage,Winner of the 1988 Pulitzer Prize for fiction. A former slave living in Ohio is haunted by events at the Kentucky plantation from which she escaped 18 years ago.,https://www.nytimes.com/1987/09/13/books/jaunted-by-their-nightmares.html,8/15/2020,4,7
9.78038E+12,Norwegian Wood,Haruki Murakami,,,https://www.nytimes.com/2000/09/24/books/rubber-souls.html,null,null,null
9.78006E+12,THE PACT,Jodi Picoult,HarperCollins,"When a teenage girl commits suicide, her boyfriend is accused of murder.",https://www.nytimes.com/1998/08/02/books/books-in-brief-fiction-060151.html,8/27/2016,16,0
9.78055E+12,A BRIEF HISTORY OF TIME,Stephen Hawking,Bantam,The British cosmologist reviews efforts to create a unified theory of the universe; first published in 1988.,,6/30/2018,6,0
9.7814E+12,THE SECRET HISTORY,Donna Tartt,Vintage,"Close friends at a small college in Vermont must deal with the consequences of a crime; Tartt's first novel, originally published in 1992. ",,7/5/2014,24,0
9.78045E+12,Where the Heart Is (Oprah's Book Club),Billie Letts,,,https://www.nytimes.com/1995/08/06/books/in-short-fiction-438395.html,null,null,null
9.7814E+12,Kafka on the Shore,Haruki Murakami,,,https://www.nytimes.com/2005/02/06/books/review/kafka-on-the-shore-realitys-culdesacs.html,null,null,null
9.78039E+12,DRAGONFLY IN AMBER,Diana Gabaldon,Dell,"Volume 2 of the Outlander series, about an 18th-century Scottish warrior and a time-traveling World War II-era nurse; first published in 1992.",,6/20/2015,19,0
9.78062E+12,The Namesake: A Novel,Jhumpa Lahiri,,,https://www.nytimes.com/2003/09/28/books/out-of-the-overcoat.html,null,null,null
9.7808E+12,Cold Mountain,Charles Frazier,,,https://www.nytimes.com/1997/07/13/books/american-odyssey.html,null,null,null
